number,name,is_ans,name_object,date_norm,date_buckets_2,author_norm,address,district,district_norm,protection_category_norm,base,id_object
5484,,0,Сторожка усадьбы А.Я. Красовского,1850,1850-1899,,"г. Петергоф, Разводная ул., 7 (б. ул. Коминтерна)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6295
5485,,0,б. особняк Н. Беллей с садовым павильоном,1900,1900-1949,,"г. Петергоф, Садовая ул., 14",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 650 от 25.08.1975,6299
5486,,0,Усадьба Беллей,1909,1900-1949,,"г. Петергоф, Садовая ул., 24, лит. В, Д, Е",Петродворцовый,14,1,Распоряжение КГИОП № 518-р от 13.12.2018; Распоряжение КГИОП № 55-рп от 19.03.2025,6734
5487,Усадьба Беллей,1,Зимняя оранжерея,1907,1900-1949,,"г. Петергоф, Садовая ул., 24, лит. В",Петродворцовый,14,1,Распоряжение КГИОП № 518-р от 13.12.2018; Распоряжение КГИОП № 55-рп от 19.03.2025,6736
5488,Усадьба Беллей,1,Ворота,1909,1900-1949,,"г. Петергоф, Садовая ул., 24, лит. В, Д, Е",Петродворцовый,14,1,Распоряжение КГИОП № 518-р от 13.12.2018; Распоряжение КГИОП № 55-рп от 19.03.2025,6738
5489,Усадьба Беллей,1,Сад,1909,1900-1949,,"г. Петергоф, Садовая ул., 24, лит. В, Д, Е",Петродворцовый,14,1,Распоряжение КГИОП № 518-р от 13.12.2018; Распоряжение КГИОП № 55-рп от 19.03.2025,6739
5490,Усадьба Беллей,1,Жилой флигель,1911,1900-1949,,"г. Петергоф, Садовая ул., 24, лит. Д",Петродворцовый,14,1,Распоряжение КГИОП № 518-р от 13.12.2018; Распоряжение КГИОП № 55-рп от 19.03.2025,6735
5491,Усадьба Беллей,1,Летняя оранжерея,1909,1900-1949,,"г. Петергоф, Садовая ул., 24, лит. Е",Петродворцовый,14,1,Распоряжение КГИОП № 518-р от 13.12.2018; Распоряжение КГИОП № 55-рп от 19.03.2025,6737
5492,,0,Сад б. дома управляющего Петергофским дворцовым управлением,1840,1800-1849,,"г. Петергоф, Самсониевская ул. (б. ул. Толмачева)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 849 от 31.10.1988,6303
5493,,0,Дом начальника Петергофского дворцового правления,1847,1800-1849,,"г. Петергоф, Самсониевская ул., 3",Петродворцовый,14,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,6302
5494,,0,Дом А.Г. Венцель,1840,1800-1849,,"г. Петергоф, Самсониевская ул., 5 (б. ул. Толмачева)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6304
5495,,0,Пожарное депо,1840,1800-1849,Шарлемань 1й А.И,"г. Петергоф, Самсониевская ул., 9 (б. ул. Толмачева)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 650 от 25.08.1975,6305
5496,,0,"Караулка у павильона ""Озерки"" (основание)",1830,1800-1849,Штакеншнейдер А. И,"г. Петергоф, Самсоновский бассейн",Петродворцовый,14,2,Распоряжение КГИОП № 10-659 от 06.12.2016,10838
5497,,0,Дом Струкова П.А. с садом,1827,1800-1849,Федосеев В.Ф,"г. Петергоф, Санкт-Петербургский пр., 11",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6328
5498,,0,Дом командира Уланского полка,1840,1800-1849,,"г. Петергоф, Санкт-Петербургский пр., 13; Аврова ул., 7",Петродворцовый,14,1,Закон Санкт-Петербурга № 174-27 от 05.07.1999,6331
5499,,0,Жилой дом,1950,1950-1999,А.А. Байдалинова;Н.А.;Зазерский,"г. Петергоф, Санкт-Петербургский пр., 14",Петродворцовый,14,2,Приказ председателя КГИОП № 15 от 20.02.2001,6713
5500,,0,Почта,1850,1850-1899,Бенуа Н.Л.;Кавос А.К,"г. Петергоф, Санкт-Петербургский пр., 15",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6332
5501,Почта,1,Флигели (три),1850,1850-1899,Бенуа Н.Л.;Кавос А.К,"г. Петергоф, Санкт-Петербургский пр., 15",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,10564
5502,Почта,1,Главный корпус,1850,1850-1899,Бенуа Н.Л.;Кавос А.К,"г. Петергоф, Санкт-Петербургский пр., 15",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6333
5503,Почта,1,Ограда с воротами,1850,1850-1899,Бенуа Н.Л.;Кавос А.К,"г. Петергоф, Санкт-Петербургский пр., 15",Петродворцовый,14,3,Постановление Правительства РФ № 527 от 10.07.2001,6334
5504,,0,Жилой дом с кинотеатром,1955,1950-1999,Г.И. Иванов;Я.Е. Москаленко,"г. Петергоф, Санкт-Петербургский пр., 17, лит. А",Петродворцовый,14,1,Распоряжение КГИОП № 10-654 от 30.11.2016,6714
5505,,0,Комплекс дворцового госпиталя (с территорией),1857,1850-1899,Н.Л. Бенуа;А.И. Семенов;Заусская,"г. Петергоф, Санкт-Петербургский пр., 18, 20, 24 (б. Красный пр.)",Петродворцовый,14,1,Решение исполкома Ленгорсовета № 608 от 16.07.1990,6338
5506,,0,Ансамбль жилых домов,1954,1950-1999,Г.И. Иванов;Я.Е. Москаленко,"г. Петергоф, Санкт-Петербургский пр., 25, лит. А, 27, лит. А, 29, лит. А",Петродворцовый,14,1,Распоряжение КГИОП № 10-643 от 25.11.2016,10821
5507,Ансамбль жилых домов,1,Жилой дом,1954,1950-1999,Г.И. Иванов;Я.Е. Москаленко,"г. Петергоф, Санкт-Петербургский пр., 25, лит. А",Петродворцовый,14,1,Распоряжение КГИОП № 10-643 от 25.11.2016,6715
5508,Ансамбль жилых домов,1,Жилой дом,1954,1950-1999,Г.И. Иванов;Я.Е. Москаленко,"г. Петергоф, Санкт-Петербургский пр., 27, лит. А",Петродворцовый,14,1,Распоряжение КГИОП № 10-643 от 25.11.2016,10820
